time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
29813.599675	52.630016	0.035935	1.464605	28
29814.547943	63.473244	0.035938	1.766192	29
29815.680116	55.012054	0.035935	1.530858	30
29816.634063	78.172874	0.035940	2.175115	31
29817.762907	53.786377	0.035934	1.496816	32
29818.711187	65.564110	0.035932	1.824666	33
29819.843521	49.514229	0.035935	1.377870	34
29820.807592	71.942848	0.035937	2.001940	35
29821.901704	46.319229	0.035937	1.288919	36
29822.917764	72.451302	0.035937	2.016059	37
29823.937670	50.680714	0.035931	1.410487	38
29825.048344	64.484985	0.035936	1.794456	39
29825.980490	60.546585	0.035933	1.684982	40
29827.137931	53.097599	0.035936	1.477543	41
29828.082911	71.007126	0.035932	1.976137	42
29829.190996	46.845478	0.035932	1.303712	43
29830.210989	68.882248	0.035935	1.916850	44
29831.221060	56.571358	0.035934	1.574317	45
29832.332037	58.620007	0.035937	1.631179	46
29833.285611	69.006020	0.035933	1.920432	47
29834.402259	50.603008	0.035937	1.408121	48
29835.408799	74.029320	0.035935	2.060072	49
29836.424102	54.900963	0.035937	1.527682	50
29837.548169	64.141937	0.035932	1.785079	51
29838.470077	67.738220	0.035938	1.884879	52
29839.618417	54.936604	0.035935	1.528795	53
29840.585829	74.152924	0.035937	2.063441	54
29841.669788	48.002613	0.035932	1.335926	55
29842.713990	69.095146	0.035937	1.922693	56
29843.709907	56.547714	0.035939	1.573434	57
29844.816005	61.266869	0.035940	1.704708	58
29845.777842	69.047501	0.035937	1.921365	59
29846.909992	52.789249	0.035932	1.469130	60
29847.874991	75.205338	0.035934	2.092873	61
29848.959232	51.286621	0.035939	1.427056	62
29849.981028	75.624931	0.035932	2.104693	63
29851.001834	51.716835	0.035934	1.439200	64
29852.097702	71.984856	0.035940	2.002944	65
29853.060142	57.528843	0.035932	1.601036	66
29854.191263	65.929016	0.035935	1.834652	67
29855.136022	61.920315	0.035937	1.723047	68
29856.280223	63.266533	0.035937	1.760487	69
29857.212260	62.260059	0.035931	1.732744	70
29858.364557	61.517628	0.035934	1.711977	71
29859.294429	63.324795	0.035934	1.762253	72
29860.440872	66.268509	0.035936	1.844054	73
29861.382548	58.895954	0.035933	1.639039	74
29862.506272	74.544914	0.035933	2.074563	75
29863.495030	52.773743	0.035939	1.468429	76
29864.557697	79.818031	0.035935	2.221148	77
29865.611943	46.164268	0.035938	1.284567	78
29866.612156	79.748787	0.035938	2.219087	79
29867.724200	51.169804	0.035932	1.424056	80
29868.672762	75.023857	0.035938	2.087615	81
29869.808863	60.485497	0.035935	1.683208	82
29870.758897	65.133171	0.035936	1.812472	83
29871.873566	71.880943	0.035940	2.000001	84
29872.868978	57.162979	0.035934	1.590794	85
29873.918832	79.651474	0.035934	2.216627	86
29874.995216	51.108746	0.035934	1.422311	87
29875.967580	81.422256	0.035935	2.265835	88
29877.067944	47.652657	0.035934	1.326132	89
29878.023697	72.303520	0.035933	2.012185	90
29879.181710	71.360306	0.035933	1.985921	91
29880.133939	55.058739	0.035933	1.532279	92
29881.214273	83.876549	0.035936	2.334077	93
29882.267812	47.066544	0.035938	1.309663	94
29883.257492	82.888176	0.035933	2.306756	95
29884.381224	58.145447	0.035937	1.617973	96
29885.328624	72.280708	0.035931	2.011645	97
29886.452817	68.806999	0.035932	1.914910	98
29887.428866	63.191021	0.035932	1.758646	99
29888.511090	76.533501	0.035936	2.129715	100
29889.530843	56.242458	0.035932	1.565247	101
29890.572924	83.485260	0.035940	2.322918	102
29891.650919	53.737099	0.035935	1.495411	103
29892.631594	83.691277	0.035937	2.328865	104
29893.741785	53.512398	0.035935	1.489146	105
29894.697702	84.324120	0.035933	2.346699	106
29895.840014	60.236843	0.035935	1.676255	107
29896.769742	78.396576	0.035936	2.181563	108
29897.920266	64.239624	0.035931	1.787863	109
29898.852480	69.640495	0.035933	1.938063	110
29899.995376	69.389374	0.035932	1.931116	111
29900.943023	66.773010	0.035932	1.858298	112
29902.067866	75.281647	0.035935	2.094957	113
29903.032245	61.991116	0.035936	1.725034	114
29904.138389	79.435135	0.035937	2.210409	115
29905.126088	58.493404	0.035934	1.627808	116
29906.212411	80.056694	0.035934	2.227879	117
29907.216900	61.097439	0.035935	1.700219	118
29908.296483	78.933861	0.035939	2.196316	119
29909.284233	60.641655	0.035934	1.687584	120
29910.390509	78.903740	0.035934	2.195768	121
29911.357247	62.229794	0.035933	1.731837	122
29912.479296	77.575409	0.035935	2.158759	123
29913.433464	65.349632	0.035938	1.818399	124
29914.567549	70.246300	0.035935	1.954798	125
29915.507656	72.632202	0.035932	2.021379	126
29916.655583	65.308250	0.035933	1.817484	127
29917.589528	79.592293	0.035934	2.214930	128
29918.737738	63.070381	0.035936	1.755072	129
