crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	7.504803	953	0.000000
281474976710655.000000	7.304153	954	0.000000
281474976710655.000000	7.000089	955	0.000000
281474976710655.000000	6.923714	956	0.000000
281474976710655.000000	7.695462	957	0.000000
281474976710655.000000	7.499754	958	0.000000
281474976710655.000000	7.052336	959	0.000000
281474976710655.000000	6.852654	960	0.000000
281474976710655.000000	6.763782	961	0.000000
281474976710655.000000	6.841070	962	0.000000
281474976710655.000000	7.200874	963	0.000000
281474976710655.000000	6.336525	964	0.000000
281474976710655.000000	6.587940	965	0.000000
281474976710655.000000	7.561082	966	0.000000
281474976710655.000000	7.068372	967	0.000000
281474976710655.000000	6.868950	968	0.000000
281474976710655.000000	6.699156	969	0.000000
281474976710655.000000	6.992047	970	0.000000
281474976710655.000000	7.684675	971	0.000000
281474976710655.000000	7.386075	972	0.000000
281474976710655.000000	6.788411	973	0.000000
281474976710655.000000	6.629522	974	0.000000
281474976710655.000000	7.279474	975	0.000000
281474976710655.000000	7.266523	976	0.000000
281474976710655.000000	7.178443	977	0.000000
281474976710655.000000	6.674943	978	0.000000
281474976710655.000000	6.949988	979	0.000000
281474976710655.000000	7.239523	980	0.000000
281474976710655.000000	6.875933	981	0.000000
281474976710655.000000	6.464293	982	0.000000
281474976710655.000000	6.594780	983	0.000000
281474976710655.000000	7.008030	984	0.000000
281474976710655.000000	6.750578	985	0.000000
281474976710655.000000	6.925439	986	0.000000
281474976710655.000000	6.999377	987	0.000000
281474976710655.000000	7.193428	988	0.000000
281474976710655.000000	6.955385	989	0.000000
281474976710655.000000	6.705686	990	0.000000
281474976710655.000000	6.976283	991	0.000000
281474976710655.000000	6.622025	992	0.000000
281474976710655.000000	6.668790	993	0.000000
281474976710655.000000	6.602115	994	0.000000
281474976710655.000000	6.576497	995	0.000000
281474976710655.000000	6.932334	996	0.000000
281474976710655.000000	6.696750	997	0.000000
281474976710655.000000	6.624151	998	0.000000
281474976710655.000000	6.694122	999	0.000000
281474976710655.000000	6.514600	1000	0.000000
281474976710655.000000	6.928649	1001	0.000000
281474976710655.000000	6.572998	1002	0.000000
281474976710655.000000	6.603432	1003	0.000000
281474976710655.000000	6.613658	1004	0.000000
281474976710655.000000	6.513565	1005	0.000000
281474976710655.000000	6.923530	1006	0.000000
281474976710655.000000	6.586940	1007	0.000000
281474976710655.000000	6.839962	1008	0.000000
281474976710655.000000	6.557795	1009	0.000000
