time (s)	det(V)
28572.798309	-0.016613	
28572.800309	-0.015603	
28572.804309	-0.016909	
28572.806310	-0.018252	
28572.808310	-0.019480	
28572.812310	-0.019530	
28572.814310	-0.017916	
28572.816311	-0.017162	
28572.818311	-0.018564	
28572.820310	-0.018369	
28572.822310	-0.018912	
28572.824311	-0.019868	
28572.828317	-0.020243	
28572.830319	-0.020044	
28572.832319	-0.018781	
28572.834318	-0.017822	
28572.836319	-0.019327	
28572.838319	-0.019742	
28572.840319	-0.019294	
28572.844316	-0.021371	
28572.846317	-0.020969	
28572.848319	-0.021427	
28572.850319	-0.019338	
28572.852320	-0.020054	
28572.854321	-0.020580	
28572.856321	-0.021187	
28572.858321	-0.022713	
28572.860320	-0.021905	
28572.862321	-0.021449	
28572.866321	-0.023599	
28572.868322	-0.023569	
28572.870322	-0.023767	
28572.872321	-0.023655	
28572.874321	-0.025016	
28572.876321	-0.025397	
28572.878322	-0.024928	
28572.880321	-0.025351	
28572.882320	-0.026590	
28572.886319	-0.027189	
28572.890321	-0.028418	
28572.892321	-0.030653	
28572.894322	-0.030470	
28572.896324	-0.030657	
28572.898326	-0.031288	
28572.902325	-0.031237	
28572.904325	-0.033549	
28572.906327	-0.034233	
28572.910326	-0.036490	
28572.912327	-0.036431	
28572.914328	-0.037443	
28572.916327	-0.037105	
28572.918327	-0.038043	
28572.920326	-0.039447	
28572.924326	-0.041029	
28572.928327	-0.042990	
28572.930327	-0.043223	
28572.932327	-0.044177	
28572.934327	-0.044535	
28572.936325	-0.045246	
28572.940325	-0.046437	
28572.942327	-0.050747	
28572.944327	-0.049545	
28572.948327	-0.050090	
28572.950327	-0.050044	
28572.952326	-0.051618	
28572.954327	-0.053028	
28572.956326	-0.053053	
28572.958327	-0.055591	
28572.962325	-0.056122	
28572.966325	-0.057220	
28572.968327	-0.057896	
28572.970326	-0.059312	
28572.972326	-0.060020	
28572.974326	-0.061634	
28572.978325	-0.062932	
28572.980325	-0.064853	
28572.982327	-0.065632	
28572.986326	-0.066266	
28572.988327	-0.069308	
28572.990327	-0.070000	
28572.992326	-0.072874	
28572.994334	-0.073524	
28572.996335	-0.074452	
28572.998334	-0.076741	
28573.002341	-0.077313	
28573.004342	-0.081669	
28573.006343	-0.082488	
28573.008343	-0.085903	
28573.010344	-0.086040	
28573.012343	-0.088911	
28573.014341	-0.090396	
28573.018340	-0.092067	
28573.022341	-0.098027	
28573.024343	-0.102307	
28573.026342	-0.104739	
28573.028346	-0.106833	
28573.030344	-0.109666	
28573.032345	-0.112097	
28573.034343	-0.114886	
28573.036344	-0.118858	
28573.040345	-0.122125	
28573.042345	-0.128354	
28573.044345	-0.131207	
28573.046348	-0.132948	
28573.048346	-0.136226	
28573.050344	-0.138214	
28573.052345	-0.142590	
28573.054345	-0.145304	
28573.056344	-0.148958	
28573.060343	-0.153395	
28573.064343	-0.158673	
28573.066344	-0.162476	
28573.068345	-0.166477	
28573.070346	-0.170012	
28573.072345	-0.172794	
28573.076342	-0.176322	
28573.078344	-0.182061	
28573.080344	-0.184190	
28573.084344	-0.187289	
28573.086345	-0.191777	
28573.088345	-0.194525	
28573.090348	-0.197119	
28573.092351	-0.200036	
28573.094345	-0.202412	
28573.096346	-0.204880	
28573.100347	-0.207543	
28573.102347	-0.210283	
28573.104347	-0.213125	
28573.106347	-0.215225	
28573.108346	-0.217914	
28573.110347	-0.219787	
28573.112346	-0.220611	
28573.114347	-0.223184	
28573.116345	-0.225580	
28573.118351	-0.227102	
28573.122346	-0.229328	
28573.124347	-0.233565	
28573.126347	-0.234950	
28573.128347	-0.236220	
28573.130347	-0.237529	
28573.132346	-0.238993	
28573.134347	-0.240626	
28573.138345	-0.243495	
28573.142344	-0.247080	
28573.144347	-0.250149	
28573.146348	-0.250704	
28573.148347	-0.252252	
28573.150346	-0.252614	
28573.152346	-0.253740	
28573.154347	-0.254800	
28573.158344	-0.256065	
28573.162345	-0.258826	
28573.164346	-0.257617	
28573.166347	-0.256806	
28573.168348	-0.256765	
28573.170346	-0.256800	
28573.172346	-0.256679	
28573.174347	-0.256352	
28573.176347	-0.255944	
28573.180346	-0.253469	
28573.184346	-0.249706	
28573.186347	-0.244452	
28573.188346	-0.242571	
28573.190353	-0.238564	
28573.192347	-0.237581	
28573.196348	-0.231890	
28573.198351	-0.225489	
28573.200350	-0.219997	
28573.204349	-0.215475	
28573.206351	-0.205787	
28573.208350	-0.202147	
28573.210351	-0.197490	
28573.212349	-0.190223	
28573.214350	-0.184955	
28573.218351	-0.178914	
28573.222351	-0.168594	
28573.224351	-0.156137	
28573.226350	-0.150405	
28573.228351	-0.143898	
28573.230350	-0.137835	
28573.234348	-0.131195	
28573.236350	-0.119500	
28573.238351	-0.113125	
28573.242351	-0.106722	
28573.244350	-0.093486	
28573.246349	-0.086492	
28573.248352	-0.081421	
28573.250350	-0.073018	
28573.252350	-0.068409	
28573.256350	-0.062948	
28573.260350	-0.051562	
28573.262351	-0.036913	
28573.264351	-0.031128	
28573.266351	-0.024695	
28573.268351	-0.017739	
28573.272349	-0.012183	
28573.274351	-0.001499	
28573.276351	0.003100	
28573.280351	0.011103	
28573.282351	0.023337	
28573.284351	0.029709	
28573.286351	0.035343	
28573.288354	0.040454	
28573.290355	0.047363	
28573.292350	0.050981	
28573.296350	0.058302	
28573.298351	0.070839	
28573.300351	0.078928	
28573.302350	0.083841	
28573.304351	0.090187	
28573.306350	0.096479	
28573.308350	0.101886	
28573.312350	0.107935	
28573.314351	0.121475	
28573.316349	0.127689	
28573.318351	0.134641	
28573.320351	0.140367	
28573.322350	0.146426	
28573.324351	0.151620	
28573.326351	0.157613	
28573.328351	0.163906	
28573.332348	0.169466	
28573.336351	0.180300	
28573.338352	0.190526	
28573.340351	0.194681	
28573.342350	0.198017	
28573.344352	0.203031	
28573.346351	0.208135	
28573.348351	0.212025	
28573.350351	0.215894	
28573.354354	0.218403	
28573.358354	0.224653	
28573.360355	0.230407	
28573.362355	0.233511	
28573.364355	0.235540	
28573.366354	0.237780	
28573.370353	0.239777	
28573.372354	0.241188	
28573.374354	0.242052	
28573.378354	0.242949	
28573.380356	0.245778	
28573.382354	0.245657	
28573.384354	0.246505	
28573.386354	0.245849	
28573.388357	0.245440	
28573.390357	0.244462	
28573.394356	0.242857	
28573.396354	0.242463	
28573.398355	0.241734	
28573.400354	0.242049	
28573.402354	0.240226	
28573.404355	0.238119	
28573.406355	0.237404	
28573.408356	0.234023	
28573.410354	0.232312	
28573.412356	0.231200	
28573.416354	0.229599	
28573.418354	0.226627	
28573.420355	0.224463	
28573.422354	0.222736	
28573.424354	0.219569	
28573.426354	0.217786	
28573.428355	0.215929	
28573.432352	0.212852	
28573.436353	0.208323	
28573.438355	0.203560	
28573.440355	0.200729	
28573.442355	0.197193	
28573.444355	0.194656	
28573.446355	0.192024	
28573.448354	0.189296	
28573.450355	0.186958	
28573.454354	0.183228	
28573.456355	0.176911	
28573.458354	0.172588	
28573.460354	0.170749	
28573.462355	0.168030	
28573.464354	0.164510	
28573.466355	0.161122	
28573.468355	0.158664	
28573.470353	0.154091	
28573.474361	0.150146	
28573.478363	0.142883	
28573.480363	0.137275	
28573.482365	0.134595	
28573.484363	0.130699	
28573.486366	0.127598	
28573.490360	0.123567	
28573.492361	0.115542	
28573.494362	0.112974	
28573.498361	0.110045	
28573.500363	0.105195	
28573.502362	0.101085	
28573.504362	0.097520	
28573.506363	0.095676	
28573.508363	0.090762	
28573.512360	0.087749	
28573.516362	0.083227	
28573.518363	0.079328	
28573.520365	0.076027	
28573.522363	0.073022	
28573.524362	0.070893	
28573.528361	0.068054	
28573.530363	0.064092	
28573.532363	0.061996	
28573.536363	0.060491	
28573.538363	0.056713	
28573.540362	0.054509	
28573.542363	0.051040	
28573.544362	0.050295	
28573.548361	0.049226	
28573.550363	0.046472	
28573.552363	0.044444	
28573.556362	0.041951	
28573.558363	0.039698	
