num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3671	4098.250651	31.743191	-12.402912	2.370935	1.427253
3673	4100.336940	30.324224	-12.129468	2.409680	1.347353
3675	4102.416728	32.604652	11.740331	2.349840	1.392562
3677	4104.498620	33.020717	12.018699	2.356025	1.422378
3679	4106.578048	33.048673	12.266771	2.366695	1.352163
3681	4108.655403	32.862892	11.881193	2.362170	1.402623
3683	4110.729040	33.277707	11.470693	2.353290	1.164225
3685	4112.818458	32.984801	11.410275	2.346249	1.425395
3687	4114.906189	33.088073	11.372318	2.333016	1.369769
3689	4116.991533	30.652600	-11.612532	2.399072	1.375188
3691	4119.075924	32.742611	11.282750	2.342088	1.550100
3693	4121.156449	32.922144	11.302831	2.348630	1.393894
3695	4123.236043	33.897792	11.092876	2.334660	1.384114
3697	4125.312598	32.926249	11.201643	2.338841	1.526476
3699	4127.398038	33.420657	11.671992	2.360852	1.402103
3701	4129.479563	32.830164	11.191629	2.345221	1.444276
3703	4131.557653	33.128170	10.921413	2.341455	1.518186
3705	4133.638040	30.561785	-11.248530	2.383765	1.467922
3707	4135.725854	33.113990	10.779263	2.333763	1.375483
3709	4137.806306	33.270593	10.730469	2.339301	1.502236
3711	4139.885412	33.425029	10.943764	2.343903	1.443106
3713	4141.969755	33.012188	10.890185	2.339595	1.399229
3715	4144.051828	30.802623	-11.042388	2.376917	1.635976
3717	4146.137205	32.866178	10.828136	2.331026	1.411487
3719	4148.223452	32.893254	10.929181	2.325247	1.507149
3721	4150.303621	33.029551	10.618046	2.321930	1.569553
3723	4152.385138	33.351783	10.428081	2.324726	1.607142
3725	4154.470218	33.643862	10.340172	2.323449	1.481804
3727	4156.549548	33.185068	10.935940	2.333872	1.476570
3729	4158.625246	33.293445	10.442430	2.324039	1.533800
3731	4160.708807	33.356294	10.258604	2.324956	1.545266
3733	4162.790369	33.318172	10.116360	2.325926	1.592026
3735	4164.870767	33.473495	10.110560	2.324457	1.517171
3737	4166.953888	32.742815	10.201344	2.321299	1.250424
3739	4169.040146	31.626508	-10.464200	2.330722	1.784948
3741	4171.120132	31.332884	-8.016543	2.346599	1.631107
3743	4173.201650	32.955360	9.893208	2.313624	1.626392
3745	4175.284478	33.708812	11.465320	2.348265	1.594714
3747	4177.368306	30.790288	-10.001849	2.367142	1.543656
3749	4179.451500	33.298809	9.838664	2.316446	1.596534
3751	4181.530173	33.472164	9.702396	2.314996	1.486163
3753	4183.611333	33.805587	9.683579	2.316966	1.655087
3755	4185.693514	34.080212	11.522311	2.348090	1.617252
3757	4187.774529	31.225205	-9.801299	2.350102	1.670111
3759	4189.856315	34.061905	10.508374	2.323155	1.639360
3761	4191.941799	33.817894	9.367680	2.294994	1.548387
3763	4194.025857	33.515909	9.422298	2.298644	1.622364
3765	4196.110076	33.426528	9.812234	2.309946	1.501245
3767	4198.191633	33.534398	9.729227	2.310822	1.691389
3769	4200.273278	33.734463	10.055882	2.324549	1.625359
3771	4202.357603	33.619518	9.173292	2.300713	1.829441
3773	4204.435326	30.522263	-9.541850	2.315985	1.770262
3775	4206.519498	31.612777	-6.837598	2.329481	1.801586
3777	4208.597588	33.627323	9.664478	2.306083	1.776345
3779	4210.676099	33.557775	9.270851	2.303699	1.895184
3781	4212.764179	33.602222	9.382017	2.303858	1.797176
3783	4214.844741	33.840403	8.923802	2.301394	1.793717
3785	4216.925583	33.429869	8.704353	2.288964	1.746138
3787	4219.007749	31.852366	-9.108009	2.303874	1.741222
3789	4221.091854	31.753919	-6.543911	2.322787	1.713316
3791	4223.171675	33.657529	8.914341	2.292979	1.795761
3793	4225.256161	33.865409	9.118031	2.293815	1.881673
3795	4227.339379	32.034877	-9.000604	2.301677	1.778109
3797	4229.425022	32.081041	-9.119612	2.297857	1.884006
3799	4231.506225	31.922934	-10.501369	2.300565	1.787372
3801	4233.589174	35.484425	10.172170	2.304918	1.976580
3803	4235.667026	33.953322	8.661908	2.287024	1.855755
