crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	2.152303	4582	5047863808.000000
281474976710655.000000	1.736417	4583	5048871936.000000
281474976710655.000000	1.946754	4584	5049955328.000000
281474976710655.000000	1.289699	4585	5050961920.000000
281474976710655.000000	2.574661	4586	5052042752.000000
281474976710655.000000	1.754394	4587	5053060608.000000
281474976710655.000000	2.715393	4588	5054111744.000000
281474976710655.000000	1.869522	4589	5055131136.000000
281474976710655.000000	2.491695	4590	5056195584.000000
281474976710655.000000	1.943245	4591	5057218560.000000
281474976710655.000000	2.557859	4592	5058278400.000000
281474976710655.000000	1.743953	4593	5059309056.000000
281474976710655.000000	2.842925	4594	5060357632.000000
281474976710655.000000	1.798078	4595	5061378560.000000
281474976710655.000000	2.447870	4596	5062445056.000000
281474976710655.000000	1.835848	4597	5063472128.000000
281474976710655.000000	2.931467	4598	5064527360.000000
281474976710655.000000	2.083711	4599	5065553408.000000
281474976710655.000000	3.007375	4600	5066605056.000000
281474976710655.000000	1.942765	4601	5067627008.000000
281474976710655.000000	2.268101	4602	5068689920.000000
281474976710655.000000	1.752885	4603	5069725184.000000
281474976710655.000000	2.986146	4604	5070779904.000000
281474976710655.000000	2.273789	4605	5071808512.000000
281474976710655.000000	3.372490	4606	5072856576.000000
281474976710655.000000	2.521171	4607	5073880064.000000
281474976710655.000000	2.525719	4608	5074933248.000000
281474976710655.000000	1.716635	4609	5075952128.000000
281474976710655.000000	2.606739	4610	5077028352.000000
281474976710655.000000	2.042134	4611	5078055424.000000
281474976710655.000000	3.247491	4612	5079104512.000000
281474976710655.000000	2.603213	4613	5080136192.000000
281474976710655.000000	3.410448	4614	5081183232.000000
281474976710655.000000	2.291969	4615	5082210304.000000
281474976710655.000000	2.827790	4616	5083273728.000000
281474976710655.000000	2.100368	4617	5084301824.000000
281474976710655.000000	3.093477	4618	5085355520.000000
281474976710655.000000	2.216641	4619	5086376448.000000
281474976710655.000000	3.089611	4620	5087438336.000000
281474976710655.000000	2.200353	4621	5088466432.000000
281474976710655.000000	3.433828	4622	5089522688.000000
281474976710655.000000	2.483122	4623	5090547200.000000
281474976710655.000000	3.420902	4624	5091602944.000000
281474976710655.000000	2.745739	4625	5092625408.000000
281474976710655.000000	2.870109	4626	5093688832.000000
281474976710655.000000	2.048542	4627	5094710784.000000
281474976710655.000000	3.404475	4628	5095776256.000000
281474976710655.000000	2.444406	4629	5096800256.000000
281474976710655.000000	3.741292	4630	5097856512.000000
281474976710655.000000	3.006239	4631	5098873344.000000
281474976710655.000000	3.181198	4632	5099937280.000000
281474976710655.000000	2.378217	4633	5100954624.000000
281474976710655.000000	3.115378	4634	5102024192.000000
281474976710655.000000	2.207336	4635	5103049216.000000
281474976710655.000000	3.681489	4636	5104105984.000000
281474976710655.000000	3.046771	4637	5105125376.000000
281474976710655.000000	3.595049	4638	5106186752.000000
281474976710655.000000	2.932565	4639	5107200512.000000
281474976710655.000000	3.145256	4640	5108268544.000000
281474976710655.000000	2.396051	4641	5109290496.000000
281474976710655.000000	3.549383	4642	5110354944.000000
281474976710655.000000	2.732152	4643	5111375872.000000
281474976710655.000000	3.895820	4644	5112435712.000000
281474976710655.000000	3.148595	4645	5113454592.000000
281474976710655.000000	3.577908	4646	5114517504.000000
281474976710655.000000	2.722242	4647	5115537408.000000
281474976710655.000000	3.446542	4648	5116601856.000000
281474976710655.000000	2.626129	4649	5117622784.000000
281474976710655.000000	3.910599	4650	5118686720.000000
281474976710655.000000	3.164715	4651	5119707136.000000
281474976710655.000000	3.968196	4652	5120766976.000000
281474976710655.000000	3.133773	4653	5121785856.000000
281474976710655.000000	3.497682	4654	5122850304.000000
281474976710655.000000	2.698200	4655	5123871744.000000
281474976710655.000000	3.811133	4656	5124935680.000000
281474976710655.000000	3.202459	4657	5125952512.000000
281474976710655.000000	4.079818	4658	5127015936.000000
281474976710655.000000	3.404142	4659	5128035840.000000
281474976710655.000000	3.705162	4660	5129099264.000000
281474976710655.000000	2.780324	4661	5130119168.000000
281474976710655.000000	3.741751	4662	5131185152.000000
281474976710655.000000	3.011557	4663	5132207616.000000
281474976710655.000000	4.312675	4664	5133264384.000000
281474976710655.000000	3.562484	4665	5134288384.000000
281474976710655.000000	3.884482	4666	5135347200.000000
281474976710655.000000	3.111702	4667	5136365568.000000
281474976710655.000000	3.745500	4668	5137431552.000000
281474976710655.000000	2.875199	4669	5138454528.000000
281474976710655.000000	4.312919	4670	5139513344.000000
281474976710655.000000	3.506280	4671	5140537856.000000
281474976710655.000000	4.273325	4672	5141595648.000000
281474976710655.000000	3.490881	4673	5142616576.000000
281474976710655.000000	4.022708	4674	5143677952.000000
281474976710655.000000	3.018763	4675	5144706048.000000
281474976710655.000000	4.452202	4676	5145760768.000000
