time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
424980.421275	85.401855	0.035934	2.376648	144
424981.443537	151.943237	0.035937	4.228031	145
424982.464565	143.883835	0.035936	4.003860	146
424983.540692	136.092941	0.035934	3.787350	147
424984.556446	164.247269	0.035935	4.570729	148
424985.604772	151.782440	0.035936	4.223635	149
424986.649994	145.924133	0.035934	4.060855	150
424987.689951	161.528976	0.035932	4.495347	151
424988.716666	176.687057	0.035936	4.916716	152
424989.782788	138.036789	0.035933	3.841482	153
424990.796745	171.606155	0.035934	4.775555	154
424991.883209	126.592674	0.035934	3.522900	155
424992.914704	125.557404	0.035934	3.494141	156
424993.948565	158.416031	0.035935	4.408401	157
424994.980201	147.973053	0.035934	4.117934	158
424996.010360	185.110428	0.035933	5.151563	159
424997.149888	22.760277	0.035935	0.633365	160
424998.135169	138.411545	0.035936	3.851591	161
424999.126127	176.318924	0.035933	4.906910	162
425000.221069	148.423965	0.035935	4.130322	163
425001.233167	143.427185	0.035933	3.991496	164
425002.304677	151.643723	0.035935	4.219960	165
425003.318945	144.550293	0.035937	4.022379	166
425004.395612	134.352371	0.035935	3.738791	167
425005.385054	167.633484	0.035936	4.664755	168
425006.456346	177.848679	0.035935	4.949136	169
425007.480589	157.743027	0.035936	4.389583	170
425008.555186	155.246506	0.035935	4.320227	171
425009.578104	133.518127	0.035933	3.715758	172
425010.655210	133.044250	0.035935	3.702360	173
425011.645351	162.889603	0.035933	4.533137	174
425012.718720	171.366135	0.035934	4.768965	175
425013.726617	175.583054	0.035936	4.885972	176
425014.822151	136.285233	0.035937	3.792323	177
425015.857729	95.060143	0.035933	2.645459	178
425016.930102	107.382095	0.035935	2.988244	179
425017.917084	134.675201	0.035934	3.747818	180
425018.995472	137.007385	0.035937	3.812462	181
425020.001275	136.986465	0.035936	3.811927	182
425021.078168	136.852127	0.035934	3.808439	183
425022.164485	27.747627	0.035933	0.772195	184
425023.145597	166.084305	0.035938	4.621399	185
425024.174260	132.451233	0.035937	3.685619	186
425025.258143	124.486855	0.035938	3.463918	187
425026.255961	139.711945	0.035936	3.887846	188
425027.320523	150.963318	0.035937	4.200807	189
425028.355478	115.476372	0.035935	3.213507	190
425029.395047	171.647751	0.035936	4.776508	191
425030.405055	184.341629	0.035933	5.130167	192
425031.500946	134.431030	0.035934	3.741032	193
425032.506843	161.566605	0.035935	4.496047	194
425033.579849	140.972458	0.035938	3.922682	195
425034.613476	119.506996	0.035934	3.325781	196
425035.662662	135.705688	0.035936	3.776320	197
425036.678472	166.171158	0.035937	4.624020	198
425037.727197	170.387207	0.035934	4.741731	199
425038.787214	124.436745	0.035935	3.462821	200
425040.174509	-203.322281	0.035935	-5.658008	201
425040.863256	137.350876	0.035935	3.822182	202
425041.918673	128.601440	0.035934	3.578856	203
425042.934183	162.843384	0.035937	4.531353	204
425043.984669	169.335983	0.035936	4.712196	205
425044.965684	239.768234	0.035936	6.672138	206
425046.071671	178.569290	0.035934	4.969361	207
425047.082459	199.345749	0.035936	5.547242	208
425048.195299	112.090324	0.035935	3.119236	209
425049.210239	105.945892	0.035935	2.948264	210
425050.288587	103.129143	0.035934	2.869926	211
425051.740331	-157.576050	0.035937	-4.384769	212
425052.330031	180.496460	0.035934	5.022959	213
425053.307374	238.896988	0.035933	6.648352	214
425054.438230	130.209412	0.035936	3.623384	215
425055.455473	115.184540	0.035941	3.204825	216
425056.534749	115.982811	0.035937	3.227406	217
425057.504089	194.826645	0.035939	5.421067	218
425058.610522	127.144524	0.035935	3.538142	219
425059.615349	139.144104	0.035932	3.872427	220
425060.710606	101.957321	0.035936	2.837165	221
425061.713087	123.195686	0.035936	3.428173	222
425062.921211	-98.381721	0.035934	-2.737817	223
425063.802462	113.402779	0.035935	3.155784	224
