num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
10771	428256.980159	0.000000	26.548293	-0.925163	3.958526
10773	428259.046225	35.847575	-13.860608	-0.154073	3.007373
10775	428261.159179	36.685531	-14.423790	-0.201128	2.745195
10777	428263.242931	37.438277	-14.523010	-0.193062	2.808902
10779	428265.311491	37.425405	-14.578018	-0.183340	2.472041
10781	428267.386032	36.908393	-13.927108	-0.168383	2.269486
10783	428269.473759	36.218905	-18.934062	-0.109724	2.814736
10785	428271.557404	38.176144	14.567155	-0.269759	3.129707
10787	428273.654072	36.251719	-13.865130	-0.163609	2.823900
10789	428275.730018	37.323125	-14.207687	-0.177022	3.081652
10791	428277.813842	36.605019	-13.922634	-0.163790	2.837412
10793	428279.897129	37.267690	-14.132943	-0.191542	2.516068
10795	428281.975617	37.752673	-14.204142	-0.202347	3.060183
10797	428284.070016	38.512088	13.878996	-0.273085	2.824656
10799	428286.163888	37.327535	-13.732514	-0.164688	2.960671
10801	428288.253412	45.901667	-19.473387	-0.153355	2.447833
10803	428290.320660	38.019338	-14.210224	-0.185306	3.012442
10805	428292.401476	36.908471	-13.998753	-0.196903	3.094271
10807	428294.497000	36.928188	-18.137786	-0.123183	2.564910
10809	428296.590865	38.973539	13.722831	-0.262687	2.632822
10811	428298.654569	39.419917	13.991898	-0.265463	3.008205
10813	428300.736742	37.519868	-13.777013	-0.190458	2.733607
10815	428302.832164	36.654052	-17.779788	-0.118827	2.958835
10817	428304.931934	39.200485	13.841922	-0.258137	2.725625
10819	428307.005527	38.304199	-13.642958	-0.175694	3.173642
10821	428309.078796	37.731194	-15.486027	-0.189161	2.840704
10823	428311.154643	37.397459	-13.664673	-0.202014	3.166421
10825	428313.242482	39.880410	13.423485	-0.264195	3.108932
10827	428315.330460	38.104052	-13.454406	-0.183153	2.742568
10829	428317.414246	38.149895	-13.401825	-0.180437	3.082744
10831	428319.496906	37.753151	-12.882887	-0.157408	2.766788
10833	428321.579960	38.417853	-13.292224	-0.177625	2.836808
10835	428323.659454	38.818000	-13.564808	-0.190839	3.168884
10837	428325.747176	38.078060	-12.729660	-0.172364	3.407576
10839	428327.841542	37.374253	-12.771556	-0.152210	3.194085
10841	428329.938724	38.881033	-16.596688	-0.131983	3.001054
10843	428332.023977	38.804917	-13.230001	-0.195428	3.092228
10845	428334.094185	39.157606	-13.007409	-0.182100	3.069621
10847	428336.166249	38.359764	-12.454187	-0.146821	3.130715
10849	428338.254614	38.545045	-13.463808	-0.192486	3.322702
10851	428340.355188	40.176533	12.799739	-0.287572	3.246592
10853	428342.443663	40.529298	12.723252	-0.273443	3.173340
10855	428344.520684	40.415370	12.888061	-0.264278	3.051838
10857	428346.591550	39.215977	-12.778146	-0.173614	3.160826
10859	428348.672836	39.137775	-13.197392	-0.194147	3.359797
10861	428350.758104	38.447984	-12.301720	-0.169158	3.479549
10863	428352.850364	40.094275	-14.706179	-0.200517	3.554527
10865	428354.941580	38.900507	-12.682533	-0.184039	3.146138
10867	428357.030980	38.920904	-12.759923	-0.192370	3.338425
10869	428359.112863	38.593212	-12.413031	-0.172108	3.694619
10871	428361.199357	38.298862	-12.329233	-0.167563	3.185014
10873	428363.282198	39.628385	-12.799774	-0.195541	3.447939
10875	428365.360805	40.989676	12.384796	-0.274471	3.279843
10877	428367.441844	39.199967	-12.356422	-0.176099	3.215843
10879	428369.517464	39.904596	-12.493125	-0.196213	3.535435
10881	428371.600988	39.200952	-12.379448	-0.171797	3.555643
10883	428373.684932	40.820356	-17.377922	-0.140950	3.325732
10885	428375.782173	40.580246	12.195088	-0.270238	3.176797
10887	428377.875281	40.085309	-12.734165	-0.200706	3.398082
10889	428379.957975	39.661294	-12.771438	-0.197159	3.541441
10891	428382.033605	41.552621	12.263708	-0.268432	3.525026
10893	428384.109213	40.835047	-12.343353	-0.209144	3.561132
10895	428386.192809	41.622305	12.022404	-0.273669	3.140169
10897	428388.277569	40.009687	-12.309216	-0.202462	3.565259
10899	428390.371202	39.799137	-12.019758	-0.182601	2.997990
10901	428392.459958	39.726970	-11.804245	-0.168616	3.702431
10903	428394.551517	39.686415	-13.091453	-0.220422	3.224048
10905	428396.635200	40.193201	-11.932980	-0.184307	3.963741
