crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	1.243056	3671	4099463424.000000
281474976710655.000000	1.726462	3672	4100510208.000000
281474976710655.000000	1.275168	3673	4101544192.000000
281474976710655.000000	1.734134	3674	4102589440.000000
281474976710655.000000	1.275491	3675	4103632640.000000
281474976710655.000000	1.749696	3676	4104671744.000000
281474976710655.000000	1.286743	3677	4105709568.000000
281474976710655.000000	1.754694	3678	4106750720.000000
281474976710655.000000	1.313363	3679	4107794432.000000
281474976710655.000000	1.776009	3680	4108827904.000000
281474976710655.000000	1.293123	3681	4109886976.000000
281474976710655.000000	1.821018	3682	4110901248.000000
281474976710655.000000	1.322193	3683	4111972096.000000
281474976710655.000000	1.764573	3684	4112992000.000000
281474976710655.000000	1.300081	3685	4114044160.000000
281474976710655.000000	1.787871	3686	4115079680.000000
281474976710655.000000	1.320665	3687	4116125440.000000
281474976710655.000000	1.805051	3688	4117164800.000000
281474976710655.000000	1.341229	3689	4118205184.000000
281474976710655.000000	1.827493	3690	4119249152.000000
281474976710655.000000	1.330259	3691	4120284928.000000
281474976710655.000000	1.770821	3692	4121329152.000000
281474976710655.000000	1.339980	3693	4122364928.000000
281474976710655.000000	1.767733	3694	4123408896.000000
281474976710655.000000	1.350058	3695	4124456192.000000
281474976710655.000000	1.802003	3696	4125485056.000000
281474976710655.000000	1.377480	3697	4126542080.000000
281474976710655.000000	1.789033	3698	4127571456.000000
281474976710655.000000	1.379198	3699	4128619776.000000
281474976710655.000000	1.837571	3700	4129652736.000000
281474976710655.000000	1.393923	3701	4130702336.000000
281474976710655.000000	1.829552	3702	4131730176.000000
281474976710655.000000	1.381753	3703	4132789248.000000
281474976710655.000000	1.801021	3704	4133810944.000000
281474976710655.000000	1.382218	3705	4134871040.000000
281474976710655.000000	1.823858	3706	4135899392.000000
281474976710655.000000	1.406715	3707	4136950528.000000
281474976710655.000000	1.853829	3708	4137979136.000000
281474976710655.000000	1.405716	3709	4139037440.000000
281474976710655.000000	1.831557	3710	4140058112.000000
281474976710655.000000	1.412991	3711	4141118720.000000
281474976710655.000000	1.837843	3712	4142142720.000000
281474976710655.000000	1.464626	3713	4143201536.000000
281474976710655.000000	1.861562	3714	4144224768.000000
281474976710655.000000	1.433052	3715	4145280256.000000
281474976710655.000000	1.843326	3716	4146310400.000000
281474976710655.000000	1.452937	3717	4147355392.000000
281474976710655.000000	1.873108	3718	4148396800.000000
281474976710655.000000	1.453950	3719	4149437696.000000
281474976710655.000000	1.864187	3720	4150476544.000000
281474976710655.000000	1.442462	3721	4151520000.000000
281474976710655.000000	1.872493	3722	4152558080.000000
281474976710655.000000	1.409116	3723	4153605376.000000
281474976710655.000000	1.906895	3724	4154643456.000000
281474976710655.000000	1.451812	3725	4155688192.000000
281474976710655.000000	1.937603	3726	4156722432.000000
281474976710655.000000	1.456864	3727	4157773056.000000
281474976710655.000000	1.929041	3728	4158797824.000000
281474976710655.000000	1.448393	3729	4159855616.000000
281474976710655.000000	1.926236	3730	4160881920.000000
281474976710655.000000	1.483653	3731	4161938944.000000
281474976710655.000000	1.907294	3732	4162963456.000000
281474976710655.000000	1.542172	3733	4164027648.000000
281474976710655.000000	1.875907	3734	4165043456.000000
281474976710655.000000	1.321734	3735	4166090752.000000
281474976710655.000000	1.900868	3736	4167127040.000000
281474976710655.000000	1.580227	3737	4168177920.000000
281474976710655.000000	1.895428	3738	4169213440.000000
281474976710655.000000	1.531330	3739	4170265088.000000
281474976710655.000000	1.906086	3740	4171292928.000000
281474976710655.000000	1.522134	3741	4172340736.000000
281474976710655.000000	1.903900	3742	4173374720.000000
281474976710655.000000	1.560273	3743	4174426880.000000
281474976710655.000000	1.936641	3744	4175457536.000000
281474976710655.000000	1.555004	3745	4176511488.000000
281474976710655.000000	1.905401	3746	4177541376.000000
281474976710655.000000	1.567351	3747	4178590208.000000
281474976710655.000000	1.948778	3748	4179624448.000000
281474976710655.000000	1.585558	3749	4180677120.000000
281474976710655.000000	1.950839	3750	4181702912.000000
281474976710655.000000	1.591662	3751	4182759168.000000
281474976710655.000000	1.957902	3752	4183784192.000000
281474976710655.000000	1.584936	3753	4184845056.000000
281474976710655.000000	1.956072	3754	4185866496.000000
281474976710655.000000	1.586583	3755	4186925056.000000
281474976710655.000000	1.965935	3756	4187947264.000000
281474976710655.000000	1.568079	3757	4189009408.000000
281474976710655.000000	1.959542	3758	4190029312.000000
281474976710655.000000	1.584593	3759	4191091200.000000
281474976710655.000000	1.991193	3760	4192115200.000000
281474976710655.000000	1.587427	3761	4193165056.000000
281474976710655.000000	1.992059	3762	4194199040.000000
281474976710655.000000	1.594536	3763	4195249920.000000
281474976710655.000000	1.997979	3764	4196283136.000000
281474976710655.000000	1.604085	3765	4197330176.000000
281474976710655.000000	1.999427	3766	4198364672.000000
281474976710655.000000	1.617390	3767	4199412480.000000
281474976710655.000000	2.000772	3768	4200446208.000000
281474976710655.000000	1.633983	3769	4201491712.000000
281474976710655.000000	2.001650	3770	4202530560.000000
281474976710655.000000	1.635380	3771	4203578880.000000
281474976710655.000000	1.984758	3772	4204607744.000000
281474976710655.000000	1.652839	3773	4205656320.000000
281474976710655.000000	2.020150	3774	4206692608.000000
281474976710655.000000	1.678031	3775	4207743232.000000
281474976710655.000000	2.012218	3776	4208770048.000000
281474976710655.000000	1.729186	3777	4209825024.000000
281474976710655.000000	2.028836	3778	4210849024.000000
281474976710655.000000	1.683031	3779	4211906816.000000
281474976710655.000000	2.016608	3780	4212937728.000000
281474976710655.000000	1.710366	3781	4213992448.000000
281474976710655.000000	2.019444	3782	4215017472.000000
281474976710655.000000	1.716268	3783	4216071168.000000
281474976710655.000000	2.044713	3784	4217098496.000000
281474976710655.000000	1.704077	3785	4218156032.000000
281474976710655.000000	2.044741	3786	4219180800.000000
281474976710655.000000	1.730093	3787	4220233728.000000
281474976710655.000000	2.048738	3788	4221264896.000000
281474976710655.000000	1.743868	3789	4222316544.000000
281474976710655.000000	2.060440	3790	4223344384.000000
281474976710655.000000	1.725430	3791	4224399360.000000
281474976710655.000000	2.045891	3792	4225429504.000000
281474976710655.000000	1.748076	3793	4226476288.000000
281474976710655.000000	2.044136	3794	4227512320.000000
