time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
5559.318657	64.761856	0.035934	1.802244	209
5560.332705	52.522694	0.035935	1.461585	210
5561.403097	68.873131	0.035933	1.916698	211
5562.409164	59.508793	0.035932	1.656145	212
5563.486912	61.322315	0.035932	1.706632	213
5564.491155	54.985401	0.035935	1.530138	214
5565.573012	64.518349	0.035935	1.795432	215
5566.584007	54.931595	0.035931	1.528827	216
5567.640215	68.406113	0.035936	1.903554	217
5568.662358	55.283085	0.035935	1.538420	218
5569.728188	62.064663	0.035937	1.727047	219
5570.757463	51.881313	0.035937	1.443677	220
5571.811709	68.937874	0.035934	1.918474	221
5572.827832	57.362923	0.035934	1.596362	222
5573.895925	62.026211	0.035934	1.726117	223
5574.910952	51.315208	0.035930	1.428211	224
5575.982987	67.467628	0.035938	1.877352	225
5576.995156	57.668747	0.035933	1.604902	226
5578.063529	62.690651	0.035934	1.744611	227
5579.085565	51.610905	0.035931	1.436382	228
5580.144133	68.589241	0.035932	1.908860	229
5581.156180	58.209415	0.035932	1.620004	230
5582.230181	65.190094	0.035935	1.814088	231
5583.242904	54.384415	0.035932	1.513550	232
5584.308794	67.594673	0.035932	1.881189	233
5585.328822	56.860672	0.035933	1.582404	234
5586.388859	65.722557	0.035931	1.829157	235
5587.411406	55.610920	0.035933	1.547629	236
5588.477959	67.647781	0.035931	1.882729	237
5589.490499	56.804462	0.035931	1.580935	238
5590.560568	64.274796	0.035933	1.788728	239
5591.574611	54.780338	0.035931	1.524602	240
5592.641114	66.604080	0.035932	1.853591	241
5593.661228	56.718540	0.035932	1.578491	242
5594.717297	67.456474	0.035931	1.877379	243
5595.743847	55.804211	0.035932	1.553032	244
5596.805875	66.953102	0.035934	1.863216	245
5597.826059	56.187447	0.035935	1.563598	246
5598.890460	66.727798	0.035935	1.856925	247
5599.903448	58.729927	0.035933	1.634447	248
5600.971682	60.355286	0.035937	1.679489	249
5601.987517	55.201275	0.035937	1.536078	250
5603.055514	66.052521	0.035933	1.838215	251
5604.069529	114.247169	0.035938	3.179043	252
5605.137777	67.007675	0.035934	1.864738	253
5606.156327	56.518806	0.035931	1.572970	254
5607.216110	67.879570	0.035933	1.889078	255
5608.240669	56.076557	0.035933	1.560596	0
5609.299137	68.154060	0.035933	1.896678	1
5610.321267	57.911415	0.035934	1.611621	2
5611.385587	65.082954	0.035935	1.811154	3
5612.402860	56.711201	0.035933	1.578240	4
5613.469342	65.422287	0.035934	1.820641	5
5614.481154	57.101151	0.035933	1.589084	6
5615.553127	66.749359	0.035933	1.857590	7
5616.569065	56.079006	0.035933	1.560673	8
5617.637147	64.980324	0.035934	1.808320	9
5618.653207	56.264606	0.035935	1.565713	10
5619.715239	66.989502	0.035931	1.864383	11
5620.741308	55.241322	0.035934	1.537314	12
5621.795334	66.278885	0.035934	1.844469	13
5622.815418	141.923401	0.035935	3.949467	14
5623.883716	67.066597	0.035932	1.866479	15
5624.897533	57.362732	0.035933	1.596379	16
5625.964140	67.175583	0.035931	1.869595	17
5626.980695	57.346588	0.035932	1.595991	18
5628.045056	66.432327	0.035933	1.848784	19
5629.071251	56.776348	0.035932	1.580120	20
5630.125798	68.005661	0.035932	1.892608	21
5631.152360	56.125114	0.035933	1.561922	22
5632.212752	64.843109	0.035933	1.804556	23
5633.228942	55.949905	0.035934	1.557034	24
5634.296972	67.464355	0.035936	1.877363	25
5635.315922	55.132832	0.035932	1.534349	26
5636.378312	65.352242	0.035934	1.818663	27
5637.394324	55.022919	0.035931	1.531353	28
5638.462152	67.452309	0.035934	1.877140	29
5639.476237	57.409733	0.035931	1.597765	30
5640.542284	68.287758	0.035933	1.900407	31
5641.560557	57.230301	0.035933	1.592678	32
5642.628384	65.505936	0.035931	1.823095	33
5643.642936	56.748363	0.035930	1.579429	34
5644.709000	66.854820	0.035930	1.860679	35
5645.725503	56.880581	0.035935	1.582864	36
5646.791578	68.653168	0.035937	1.910397	37
5647.804062	59.625050	0.035931	1.659423	38
5648.877740	65.729485	0.035933	1.829245	39
5649.892597	56.285469	0.035931	1.566492	40
5650.958874	66.836975	0.035934	1.860002	41
5651.975251	57.396477	0.035934	1.597260	42
5653.039283	67.185532	0.035933	1.869756	43
5654.055071	58.051792	0.035930	1.615698	44
5655.121099	66.438477	0.035931	1.849048	45
5656.144396	56.509090	0.035932	1.572668	46
5657.198136	69.080566	0.035930	1.922649	47
5658.230170	56.710308	0.035935	1.578150	48
5659.284196	67.525810	0.035931	1.879309	49
5660.312264	56.475433	0.035931	1.571757	50
5661.370844	67.488609	0.035930	1.878322	51
5662.384880	57.609829	0.035932	1.603312	52
5663.452926	66.767738	0.035936	1.857938	53
5664.475494	54.742199	0.035935	1.523388	54
5665.532281	69.216423	0.035930	1.926412	55
5666.558948	58.159550	0.035932	1.618615	56
5667.610611	69.461739	0.035933	1.933067	57
5668.646647	55.731701	0.035934	1.550953	58
5669.695252	68.111282	0.035935	1.895421	59
5670.725259	57.644997	0.035931	1.604317	60
5671.778641	69.605415	0.035936	1.936951	61
5672.804630	58.723797	0.035932	1.634291	62
5673.864850	67.247498	0.035930	1.871647	63
5674.885205	57.277225	0.035934	1.593957	64
5675.948949	67.667824	0.035931	1.883271	65
5676.967202	58.347946	0.035936	1.623642	66
5678.029319	69.132080	0.035935	1.923784	67
5679.053043	57.667858	0.035934	1.604812	68
5680.117094	67.380196	0.035933	1.875168	69
5681.135346	56.726711	0.035930	1.578824	70
5682.197486	68.005501	0.035934	1.892499	71
5683.217481	58.205498	0.035935	1.619724	72
5684.277804	71.992218	0.035932	2.003550	73
5685.299843	58.074471	0.035932	1.616236	74
5686.359774	68.970207	0.035932	1.919462	75
5687.383931	58.171379	0.035932	1.618919	76
5688.447929	67.294823	0.035931	1.872888	77
5689.466881	57.664326	0.035933	1.604763	78
5690.529261	67.721092	0.035932	1.884726	79
5691.547812	58.345772	0.035933	1.623751	80
5692.607813	69.976532	0.035935	1.947301	81
5693.627836	60.047729	0.035932	1.671170	82
5694.693071	67.209930	0.035933	1.870433	83
5695.713430	59.710613	0.035934	1.661653	84
5696.769525	70.367828	0.035936	1.958153	85
5697.803360	58.158245	0.035931	1.618599	86
5698.853674	69.430374	0.035931	1.932330	87
5699.885962	57.357975	0.035935	1.596160	88
5700.938002	67.923981	0.035935	1.890213	89
5701.964368	58.691738	0.035935	1.633277	90
5703.020407	69.120171	0.035934	1.923552	91
5704.046141	58.506901	0.035930	1.628349	92
5705.106633	68.139801	0.035934	1.896239	93
5706.124578	58.910702	0.035933	1.639437	94
5707.186619	70.028778	0.035932	1.948928	95
5708.210705	58.465626	0.035932	1.627105	96
5709.266755	70.859917	0.035934	1.971970	97
5710.292815	59.672199	0.035936	1.660532	98
5711.348842	69.759613	0.035935	1.941260	99
5712.383162	57.807629	0.035934	1.608723	100
5713.429477	70.665337	0.035932	1.966628	101
5714.465186	57.658394	0.035935	1.604507	102
5715.513519	69.282486	0.035934	1.928036	103
5716.549303	57.428600	0.035932	1.598271	104
5717.595874	70.149521	0.035932	1.952300	105
5718.629114	58.576794	0.035936	1.630046	106
5719.679138	70.109451	0.035934	1.951073	107
5720.709081	59.361855	0.035933	1.652017	108
5721.760967	70.248375	0.035932	1.955026	109
5722.797078	57.415520	0.035932	1.597878	110
5723.843635	70.324768	0.035933	1.957085	111
5724.878104	58.263805	0.035937	1.621256	112
5725.928574	69.767593	0.035935	1.941491	113
5726.960397	58.471233	0.035933	1.627246	114
5728.006967	70.323151	0.035931	1.957179	115
5729.043002	58.041664	0.035931	1.615375	116
5730.095070	68.314476	0.035938	1.900908	117
5731.125465	58.905518	0.035936	1.639199	118
5732.170125	72.181725	0.035932	2.008853	119
5733.208255	58.715569	0.035934	1.633994	120
5734.259081	70.692421	0.035936	1.967184	121
5735.291807	58.918262	0.035933	1.639651	122
5736.344351	69.649963	0.035932	1.938388	123
5737.371323	59.326458	0.035933	1.651015	124
5738.428430	68.593544	0.035935	1.908837	125
5739.453970	58.746243	0.035934	1.634837	126
5740.514539	67.926895	0.035935	1.890280	127
5741.537489	59.072994	0.035930	1.644120	128
5742.588336	71.667572	0.035932	1.994513	129
5743.620115	59.543827	0.035931	1.657151	130
5744.671402	70.269516	0.035933	1.955548	131
5745.705088	58.918331	0.035933	1.639652	132
5746.752064	71.170265	0.035934	1.980581	133
5747.788710	59.396709	0.035938	1.652760	134
5748.836711	70.432320	0.035930	1.960261	135
5749.871211	59.546345	0.035931	1.657236	136
5750.919272	70.901268	0.035935	1.973029	137
5751.951703	60.128990	0.035933	1.673349	138
5753.001599	71.757584	0.035933	1.997009	139
5754.035435	59.368469	0.035935	1.652102	140
5755.085730	71.189316	0.035932	1.981201	141
5756.114018	60.080162	0.035930	1.672136	142
5757.168299	71.203606	0.035934	1.981497	143
5758.200106	58.618015	0.035933	1.631303	144
5759.252140	71.002609	0.035939	1.975664	145
5760.282215	58.892128	0.035931	1.639044	146
5761.336220	70.049171	0.035936	1.949279	147
5762.364253	59.566517	0.035935	1.657625	148
5763.417003	70.293144	0.035933	1.956201	149
5764.446838	60.142212	0.035936	1.673578	150
5765.500176	71.213158	0.035933	1.981848	151
5766.528583	61.116051	0.035933	1.700830	152
5767.581621	71.686394	0.035933	1.995027	153
5768.613592	60.390930	0.035936	1.680522	154
5769.664198	71.209793	0.035933	1.981738	155
5770.699985	60.009884	0.035935	1.669959	156
5771.742889	72.197449	0.035938	2.008970	157
5772.778852	62.035492	0.035935	1.726340	158
5773.824887	71.751060	0.035935	1.996670	159
5774.864952	59.635437	0.035933	1.659609	160
5775.906987	72.130287	0.035932	2.007435	161
5776.945239	60.013260	0.035933	1.670166	162
5777.995479	69.832756	0.035932	1.943452	163
5779.025297	60.271664	0.035932	1.677390	164
5780.079335	70.330009	0.035936	1.957100	165
5781.107387	60.204067	0.035935	1.675375	166
5782.161495	70.544640	0.035931	1.963320	167
5783.191563	59.503689	0.035935	1.655873	168
5784.241659	72.430130	0.035931	2.015809	169
5785.271686	61.133881	0.035933	1.701322	170
5786.328654	70.167610	0.035933	1.952732	171
5787.358205	59.992077	0.035938	1.669339	172
5788.405190	72.642792	0.035932	2.021649	173
5789.439199	61.225578	0.035932	1.703923	174
5790.487234	72.260857	0.035935	2.010875	175
5791.523535	61.255646	0.035937	1.704518	176
5792.571568	71.785301	0.035933	1.997781	177
5793.609280	60.459171	0.035932	1.682584	178
5794.653381	71.504585	0.035937	1.989746	179
5795.693414	59.324020	0.035933	1.650969	180
5796.735507	71.504463	0.035938	1.989674	181
5797.774087	60.599384	0.035934	1.686399	182
5798.824166	67.544838	0.035934	1.879671	183
