time (s)	coil I (A)	last det (V)	int current (uC)
7951.584628	3.266554	27.734375	-361.230469
7951.586629	3.267151	27.734375	-361.230469
7951.588629	3.266826	27.734375	-361.230469
7951.590629	3.266787	35.934654	0.111814
7952.629607	3.263806	109.863281	26.464844
7952.631611	3.266889	109.863281	26.464844
7952.633614	3.267169	109.863281	26.464844
7952.635613	3.266785	109.863281	26.464844
7952.637613	3.266661	35.933266	0.070127
7953.665645	3.266095	23.925781	-368.066406
7953.667648	3.266997	23.925781	-368.066406
7953.669649	3.266643	23.925781	-368.066406
7953.671645	3.266521	35.931736	0.114234
7954.719711	3.265371	111.328125	25.488281
7954.721712	3.267149	111.328125	25.488281
7954.723713	3.267035	111.328125	25.488281
7954.725713	3.266681	35.933491	0.071665
7955.751759	3.266583	23.242187	-369.921875
7955.753760	3.267163	23.242187	-369.921875
7955.755761	3.266888	23.242187	-369.921875
7955.757759	3.266774	35.934509	0.117892
7956.801826	3.266495	111.425781	23.535156
7956.803828	3.267228	111.425781	23.535156
7956.805828	3.266774	111.425781	23.535156
7956.807827	3.266727	35.933998	0.069713
7957.835851	3.266790	26.074219	-365.625000
7957.837854	3.266753	26.074219	-365.625000
7957.839854	3.266500	35.931496	0.113222
7958.878433	3.266469	110.937500	26.171875
7958.880436	3.267207	110.937500	26.171875
7958.882434	3.266912	110.937500	26.171875
7958.884434	3.266786	35.934643	0.076176
7959.916998	3.266675	28.808594	-361.816406
7959.918999	3.267238	28.808594	-361.816406
7959.921000	3.267194	28.808594	-361.816406
7959.923000	3.266814	35.934952	0.113616
7960.965019	3.265619	110.644531	24.609375
7960.967021	3.267453	110.644531	24.609375
7960.969023	3.267356	110.644531	24.609375
7960.971023	3.267105	35.938152	0.068527
7962.005072	3.265545	25.585937	-372.558594
7962.007074	3.267181	25.585937	-372.558594
7962.009074	3.266951	25.585937	-372.558594
7962.011075	3.266761	35.934368	0.113776
7963.049102	3.263102	109.570312	23.925781
7963.051103	3.266781	109.570312	23.925781
7963.053103	3.267313	109.570312	23.925781
7963.057100	3.266791	109.570312	23.925781
7963.059103	3.266787	35.934654	0.068527
7964.089137	3.266984	26.757812	-370.214844
7964.091139	3.267141	26.757812	-370.214844
7964.093140	3.266855	26.757812	-370.214844
7964.095138	3.266749	35.934242	0.116198
7965.131692	3.266172	109.765625	25.000000
7965.133694	3.267413	109.765625	25.000000
7965.135694	3.267024	109.765625	25.000000
7965.137695	3.266919	35.936111	0.069389
7966.167733	3.265026	19.238281	-376.367187
7966.169734	3.267355	19.238281	-376.367187
7966.171734	3.267318	19.238281	-376.367187
7966.173736	3.267064	35.937698	0.124254
7967.223807	3.265377	111.621094	21.484375
7967.225809	3.267130	111.621094	21.484375
7967.227808	3.266987	111.621094	21.484375
7967.229808	3.266756	35.934315	0.062120
7968.250765	3.267056	17.285156	-384.082031
7968.252764	3.267325	17.285156	-384.082031
7968.254765	3.266935	17.285156	-384.082031
7968.256764	3.266831	35.935139	0.419351
7969.302793	3.263288	113.671875	20.507812
7969.304795	3.266586	113.671875	20.507812
7969.306795	3.266908	113.671875	20.507812
7969.308794	3.266600	113.671875	20.507812
7969.310795	3.266545	35.931992	0.069833
7970.327395	3.264058	23.242187	-375.000000
7970.329395	3.267227	23.242187	-375.000000
7970.331395	3.267429	23.242187	-375.000000
7970.333396	3.267182	23.242187	-375.000000
7970.335396	3.267091	35.938000	0.123478
7971.389459	3.265973	114.648437	18.554687
7971.391461	3.267007	114.648437	18.554687
7971.393461	3.266625	114.648437	18.554687
7971.395462	3.266489	35.931381	0.073195
7972.423468	3.266600	23.925781	-373.046875
7972.425471	3.266842	23.925781	-373.046875
7972.427469	3.266578	23.925781	-373.046875
7972.429472	3.266426	35.930683	0.359961
7973.463541	3.267500	112.304687	24.218750
7973.465543	3.267166	112.304687	24.218750
7973.467543	3.267116	35.938278	0.070706
7974.499593	3.265902	27.050781	-370.507812
7974.501596	3.267361	27.050781	-370.507812
7974.503594	3.267056	27.050781	-370.507812
7974.505596	3.266800	35.934803	0.124229
7975.555658	3.264552	112.695312	20.019531
7975.557660	3.266983	112.695312	20.019531
7975.559658	3.267073	112.695312	20.019531
7975.561658	3.266877	35.935650	0.068326
7976.585700	3.266190	18.945312	-377.343750
7976.587703	3.267184	18.945312	-377.343750
7976.589702	3.266839	18.945312	-377.343750
7976.591703	3.266813	35.934944	0.121088
7977.638247	3.266661	113.964844	18.359375
7977.640249	3.267259	113.964844	18.359375
7977.642250	3.266940	113.964844	18.359375
7977.644251	3.266819	35.935013	0.065539
7978.662293	3.266190	19.335937	-382.910156
7978.664294	3.267428	19.335937	-382.910156
7978.666297	3.267062	19.335937	-382.910156
7978.668296	3.266989	35.936874	0.117402
7979.724355	3.266884	116.406250	15.527344
7979.726356	3.267368	116.406250	15.527344
